Namespace(filename='tmp.csv')
Sun Jul  1 08:43:17 2018    tmp.csv

         318233 function calls (315963 primitive calls) in 6.239 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 core.py:991(__init__)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 Image.py:486(Image)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:794(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 core.py:2688(MaskedArray)
       37    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      137    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 ImageFont.py:215(truetype)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
      120    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        8    0.000    0.000    0.000    0.000 sre_parse.py:260(getuntil)
        1    0.000    0.000    0.000    0.000 ImageFont.py:118(__init__)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
       17    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
      485    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      203    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       10    0.000    0.000    0.000    0.000 threading.py:213(__init__)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      328    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
       87    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
      169    0.000    0.000    0.000    0.000 __init__.py:37(setup)
